Sample,contaminant,mass
DC15227,"Porcine Trypsin, Methylated",2720.3634
DC15289,4HCCA Cluster,855.0714
DC15289,4HCCA Cluster,871.0453
DC15289,4HCCA Cluster,606.0915
DC15120,4HCCA Cluster,855.0714
DC15120,4HCCA Cluster,861.0794
DC15120,4HCCA Cluster,871.0453
DC15120,4HCCA Cluster,1066.0959
DC15120,4HCCA Cluster,606.0915
DC15120,Bovine Casein a-S1,1267.7045
DC15120,Keratin,1549.6772
DC15120,Keratin,2705.1611
DC15120,Keratin (Human),2501.0672
DC15120,Keratin (Human),2501.2518
DC15120,"Porcine Trypsin, Methylated",2720.3634
DC15093,4HCCA Cluster,855.0714
DC15093,4HCCA Cluster,606.0915
DC15093,Keratin,809.4403
DC15093,Keratin,1549.6772
DC15093,Keratin,2705.1611
DC15049,4HCCA Cluster,855.0714
DC15049,4HCCA Cluster,861.0794
DC15049,Keratin,1549.6772
DC15049,Keratin,2581.1947
DC15049,Keratin,2705.1611
DC15212,4HCCA Cluster,871.0453
DC15212,Keratin,1549.6772
DC15212,Porcine Trypsin,758.4155
DC15230,Keratin,1549.6772
DC15230,Keratin,2705.1611
DC15230,Keratin (Human),1201.6171
DC15244,4HCCA Cluster,855.0714
DC15244,4HCCA Cluster,871.0453
DC15244,4HCCA Cluster,606.0915
DC15005,4HCCA Cluster,839.0974
DC15005,4HCCA Cluster,855.0714
DC15005,4HCCA Cluster,861.0794
DC15005,4HCCA Cluster,871.0453
DC15005,4HCCA Cluster,1066.0959
DC15005,4HCCA Cluster,1060.0879
DC15005,4HCCA Cluster,606.0915
DC15005,Bovine Casein a-S1,1267.7045
DC15005,Keratin,1549.6772
DC15005,Keratin (Human),1201.6171
DC15005,Keratin (Human),1475.7489
DC15005,Keratin (Human),1475.7853
DC15286,4HCCA Cluster,855.0714
DC15286,4HCCA Cluster,871.0453
DC15286,4HCCA Cluster,606.0915
