Sample,contaminant,mass
DC15225,Keratin (Human),1193.6161
DC12747,4HCCA Cluster,871.0453
DC12747,4HCCA Cluster,606.0915
DC15247,4HCCA Cluster,871.0453
DC15247,4HCCA Cluster,606.0915
DC15247,Bovine Casein a-S1,1267.7045
DC15247,Keratin,2581.1947
DC15247,Keratin,2705.1611
DC15247,Keratin (Human),2566.2784
DC15089,4HCCA Cluster,861.0794
DC15089,Bovine Casein a-S1,1267.7045
DC15089,Keratin,1549.6772
DC15089,Keratin,2705.1611
DC15089,Keratin (Human),1475.7489
DC15089,Keratin (Human),1475.7853
DC15089,Keratin (Human),2566.2784
DC15114,4HCCA Cluster,855.0714
DC15114,4HCCA Cluster,871.0453
DC15114,4HCCA Cluster,1060.0879
DC15114,4HCCA Cluster,606.0915
DC15114,Bovine Serum Albumin (BSA),1491.7518
DC15114,Keratin,2705.1611
DC15114,Keratin (Human),1475.7489
DC15114,Keratin (Human),1475.7853
DC15114,Keratin (Human),1491.7438
DC15114,"Porcine Trypsin, Methylated",2720.3634
DC15231,Keratin,1549.6772
DC15231,Keratin,2705.1611
DC15231,Keratin (Human),2286.1248
DC15231,"Porcine Trypsin, Methylated",2720.3634
DC15245,4HCCA Cluster,855.0714
DC15245,4HCCA Cluster,871.0453
DC15245,4HCCA Cluster,606.0915
DC15245,Bovine Casein a-S1,1267.7045
DC15092,4HCCA Cluster,855.0714
DC15092,4HCCA Cluster,861.0794
DC15092,4HCCA Cluster,606.0915
DC15092,Bovine Casein a-S1,1267.7045
DC15092,Bovine Serum Albumin (BSA),1491.7518
DC15092,Keratin,1549.6772
DC15092,Keratin (Human),1491.7438
DC15220,Keratin,1549.6772
DC15220,"Porcine Trypsin, Methylated",2720.3634
DC15084,4HCCA Cluster,855.0714
DC15084,4HCCA Cluster,606.0915
DC15084,Bovine Casein a-S1,1267.7045
DC15084,Keratin,1549.6772
DC15084,Keratin,2705.1611
DC15084,Keratin (Human),1638.7657
DC15084,Keratin (Human),1638.8598
DC15285,4HCCA Cluster,855.0714
DC15285,4HCCA Cluster,871.0453
DC15285,4HCCA Cluster,606.0915
DC15285,Bovine Casein a-S1,1267.7045
DC15285,"Porcine Trypsin, Methylated",2720.3634
DC15210,4HCCA Cluster,855.0714
DC15210,4HCCA Cluster,871.0453
DC15210,4HCCA Cluster,606.0915
DC15210,Bovine Casein a-S1,1267.7045
DC15210,Keratin,2705.1611
DC15210,Keratin (Human),2501.0672
DC15210,Keratin (Human),2501.2518
DC15116,4HCCA Cluster,855.0714
DC15116,4HCCA Cluster,871.0453
DC15116,4HCCA Cluster,606.0915
DC15116,Bovine Casein a-S1,1267.7045
DC15116,Keratin,1549.6772
DC15116,Keratin,2705.1611
DC15116,Keratin (Human),1193.6161
DC15116,Keratin (Human),2286.1248
DC15129,4HCCA Cluster,855.0714
DC15129,4HCCA Cluster,871.0453
DC15129,4HCCA Cluster,606.0915
DC15129,Bovine Casein a-S1,1267.7045
DC15129,Keratin,2705.1611
DC15228,Bovine Casein a-S1,1267.7045
DC15228,Bovine Serum Albumin (BSA),1491.7518
DC15228,Keratin,809.4403
DC15228,Keratin (Human),1491.7438
DC15275,4HCCA Cluster,855.0714
DC15275,4HCCA Cluster,871.0453
DC15275,4HCCA Cluster,606.0915
DC15275,Bovine Casein a-S1,1267.7045
DC15076,4HCCA Cluster,855.0714
DC15076,4HCCA Cluster,861.0794
DC15076,4HCCA Cluster,606.0915
DC15076,Bovine Casein a-S1,1267.7045
DC15076,Keratin,1549.6772
DC15076,Keratin,2705.1611
DC15076,Keratin (Human),2286.1248
DC15064,4HCCA Cluster,855.0714
DC15064,4HCCA Cluster,861.0794
DC15064,4HCCA Cluster,606.0915
DC15064,Bovine Casein a-S1,1267.7045
DC15064,Keratin,2705.1611
DC15064,Keratin (Human),2286.1248
DC15222,4HCCA Cluster,855.0714
DC15222,4HCCA Cluster,871.0453
DC15222,4HCCA Cluster,606.0915
DC15222,Bovine Casein a-S1,1267.7045
DC15222,Keratin,2705.1611
DC15263,4HCCA Cluster,855.0714
DC15263,4HCCA Cluster,871.0453
DC15263,4HCCA Cluster,606.0915
DC15072,4HCCA Cluster,855.0714
DC15072,4HCCA Cluster,861.0794
DC15072,Bovine Casein a-S1,1267.7045
DC15072,Keratin,1549.6772
DC15072,Keratin,2581.1947
DC15072,Keratin,2705.1611
DC15072,Keratin (Human),1201.6171
DC15223,Bovine Casein a-S1,1267.7045
DC15020,4HCCA Cluster,839.0974
DC15020,4HCCA Cluster,855.0714
DC15020,4HCCA Cluster,861.0794
DC15020,4HCCA Cluster,871.0453
DC15020,4HCCA Cluster,1066.0959
DC15020,4HCCA Cluster,1060.0879
DC15020,4HCCA Cluster,606.0915
DC15020,Bovine Casein a-S1,1267.7045
DC15020,Keratin,1549.6772
DC15020,Keratin,2581.1947
DC15020,Keratin,2705.1611
DC15020,"Porcine Trypsin, Methylated",2720.3634
DC15274,4HCCA Cluster,855.0714
DC15274,4HCCA Cluster,871.0453
DC15274,4HCCA Cluster,606.0915
DC15274,Bovine Casein a-S1,1267.7045
DC15097,4HCCA Cluster,855.0714
DC15097,4HCCA Cluster,861.0794
DC15097,4HCCA Cluster,871.0453
DC15097,4HCCA Cluster,606.0915
DC15097,Bovine Casein a-S1,1267.7045
DC15097,Keratin,1549.6772
DC15097,Keratin,2705.1611
DC15097,Keratin (Human),1193.6161
DC15097,Keratin (Human),2286.1248
